ML2,ML1,ML3,ML4,ML5,max
0.961403504,-0.023043495,0.092548481,-0.136168326,-0.033693649,0.961403504
0.98123481,-0.053313216,0.065761251,-0.106490454,-0.005187442,0.98123481
0.935702634,0.013535215,0.114765175,-0.113655268,-0.041802328,0.935702634
1.028911358,-0.063137092,0.080475194,-0.151895524,-0.01952293,1.028911358
1.034279474,-0.071821273,0.023309333,-0.093497383,0.001966266,1.034279474
0.983303882,-0.077100678,-0.052490308,0.009630758,0.035979015,0.983303882
0.937657971,-0.085159364,-0.078606414,0.063201848,0.055248266,0.937657971
0.935210139,-0.067168459,-0.09033364,0.053267884,0.04941811,0.935210139
0.91564693,0.047422863,0.118873499,-0.106235385,-0.077751768,0.91564693
0.997452668,-0.018940279,0.058111743,-0.105533101,-0.035319856,0.997452668
0.984551066,-0.054146846,-0.021211954,-0.013708907,0.009604946,0.984551066
0.855539637,-0.059342925,-0.112861628,0.196584791,0.030601939,0.855539637
0.637437356,-0.081742259,-0.150551605,0.447990983,0.066372643,0.637437356
0.462759656,-0.040054393,-0.140748752,0.59144824,0.077318265,0.59144824
0.549820815,-0.070502057,-0.155225103,0.553057358,0.062372091,0.553057358
0.655924317,-0.066793237,-0.157182868,0.417674846,0.062760277,0.655924317
0.881480825,0.085511899,0.123263721,-0.082766822,-0.066607705,0.881480825
0.934453754,0.012446831,-0.004268853,-0.025240406,0.002028324,0.934453754
0.817369211,-0.017788687,-0.079735864,0.172805195,0.026000375,0.817369211
0.573445583,-0.043444538,-0.119754674,0.482257522,0.053467137,0.573445583
0.162404298,0.045692432,-0.028728044,0.838527139,0.002881383,0.838527139
-0.054366712,0.085088834,0.083120188,0.912676477,-0.01261121,0.912676477
-0.055673622,0.0631118,0.106501227,0.909155957,-0.008206003,0.909155957
0.03592297,0.075749923,0.039247739,0.871810741,-0.000152019,0.871810741
0.67867531,0.339032673,0.198485227,-0.122395374,-0.159412663,0.67867531
0.692465066,0.325334361,0.100324336,-0.06686901,-0.088568175,0.692465066
0.715694983,0.254839167,0.001043517,0.013081045,-0.023193131,0.715694983
0.549951312,0.077611357,-0.023138415,0.309561835,0.077640484,0.549951312
0.268809695,-0.073125147,0.098758974,0.554418333,0.139532112,0.554418333
-0.090315082,-0.017211053,0.565700882,0.527406794,-0.011028359,0.565700882
-0.079503437,0.021718318,0.688338103,0.422655845,-0.09754917,0.688338103
-0.083979936,0.021147513,0.69164219,0.427767436,-0.082895056,0.69164219
-0.106657978,0.024537645,0.651597941,0.483890246,-0.09363537,0.651597941
-0.073789267,0.016017696,0.451623128,0.672597265,-0.094751236,0.672597265
0.114504228,0.89270292,0.085450826,-0.010952885,-0.15011133,0.89270292
0.01896626,0.962052474,0.035259902,0.077250378,-0.126223895,0.962052474
-0.061375741,0.839845986,-0.003651417,0.072578764,0.145492717,0.839845986
-0.003334367,0.324347561,-0.027604763,0.043967628,0.708088742,0.708088742
0.047035303,0.059867317,0.331005485,-0.009756644,0.606749529,0.606749529
0.074818683,-0.079945785,0.947714611,-0.089584132,0.080306771,0.947714611
-0.001264431,-0.06310158,0.974687954,-0.020462875,0.006592776,0.974687954
-0.057268813,-0.01767428,0.987811886,0.054209038,-0.044189514,0.987811886
-0.078991097,-0.004960494,0.956961326,0.094190397,-0.034117732,0.956961326
-0.052583185,-0.017369076,0.927677738,0.135018863,-0.057352421,0.927677738
-0.034585824,1.016971492,0.004360333,0.040466538,-0.084973525,1.016971492
-0.105984993,0.919014103,0.00591576,0.047278354,0.095857737,0.919014103
-0.083787766,0.422921188,-0.025627674,0.071193491,0.640054892,0.640054892
0.016731228,0.216663152,0.085752272,-0.02823772,0.755316323,0.755316323
0.08098302,-0.014844514,0.625865176,-0.114759967,0.415551598,0.625865176
0.100664354,-0.023607701,0.876401308,-0.190608811,0.187883425,0.876401308
0.094607242,-0.024905464,0.937305611,-0.190087839,0.104696677,0.937305611
0.091101548,-0.021940656,0.902825064,-0.130358418,0.103017271,0.902825064
0.032085429,0.979146494,0.037321111,0.000707877,-0.120680247,0.979146494
-0.070415435,0.971551818,-0.036341032,0.022028192,0.06296972,0.971551818
-0.086273447,0.78848648,-0.048430587,0.039640064,0.291269729,0.78848648
-0.038506371,0.387671446,-0.023258121,0.036533711,0.692979338,0.692979338
-0.000947666,0.177225769,0.071457023,0.037628453,0.75595375,0.75595375
0.047408568,0.164458827,0.225408751,-0.056682003,0.676221441,0.676221441
0.031244913,0.154306366,0.304351387,-0.020971844,0.589756632,0.589756632
0.069471842,0.128990168,0.267505443,-0.061831717,0.646392672,0.646392672
0.040806683,0.971098844,0.010115537,-0.004876796,-0.078382008,0.971098844
-0.00432166,0.980898188,-0.046541115,-0.011800927,0.018865886,0.980898188
-0.08408262,0.931356401,-0.059410519,0.037160913,0.111126522,0.931356401
-0.049950025,0.609964628,-0.068998982,0.015028999,0.487792493,0.609964628
-0.027930473,0.463055384,-0.015892175,0.035072018,0.587619961,0.587619961
-0.015835963,0.448719248,-0.024973955,0.028189841,0.594604398,0.594604398
0.054366035,0.944592619,-0.060412177,-0.030722579,-0.009064191,0.944592619
0.039743001,0.880767038,-0.080720176,-0.062914736,0.094223118,0.880767038
